District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Rupandehi,Lumbini,Terai,Western,2059,2002,410282
Rupandehi,Lumbini,Terai,Western,2060,2003,416780
Rupandehi,Lumbini,Terai,Western,2061,2004,417397
Rupandehi,Lumbini,Terai,Western,2062,2005,421638
Rupandehi,Lumbini,Terai,Western,2063,2006,522898
Kapilbastu,Lumbini,Terai,Western,2047,1990,215097
Kapilbastu,Lumbini,Terai,Western,2050,1993,229116
Kapilbastu,Lumbini,Terai,Western,2056,1999,267697
Kapilbastu,Lumbini,Terai,Western,2057,2000,287298
Kapilbastu,Lumbini,Terai,Western,2058,2001,292553
Kapilbastu,Lumbini,Terai,Western,2059,2002,296843
Kapilbastu,Lumbini,Terai,Western,2060,2003,300237
Kapilbastu,Lumbini,Terai,Western,2061,2004,299253
Kapilbastu,Lumbini,Terai,Western,2062,2005,301301
Kapilbastu,Lumbini,Terai,Western,2063,2006,348954
Mustang,Dhawalagiri,Mountain,Western,2047,1990,11312
Mustang,Dhawalagiri,Mountain,Western,2050,1993,10800
Mustang,Dhawalagiri,Mountain,Western,2056,1999,10776
